"subject" "activity_code" "1tbodyaccmeanx" "2tbodyaccmeany" "3tbodyaccmeanz" "41tgravityaccmeanx" "42tgravityaccmeany" "43tgravityaccmeanz" "81tbodyaccjerkmeanx" "82tbodyaccjerkmeany" "83tbodyaccjerkmeanz" "121tbodygyromeanx" "122tbodygyromeany" "123tbodygyromeanz" "161tbodygyrojerkmeanx" "162tbodygyrojerkmeany" "163tbodygyrojerkmeanz" "201tbodyaccmagmean" "214tgravityaccmagmean" "227tbodyaccjerkmagmean" "240tbodygyromagmean" "253tbodygyrojerkmagmean" "266fbodyaccmeanx" "267fbodyaccmeany" "268fbodyaccmeanz" "294fbodyaccmeanfreqx" "295fbodyaccmeanfreqy" "296fbodyaccmeanfreqz" "345fbodyaccjerkmeanx" "346fbodyaccjerkmeany" "347fbodyaccjerkmeanz" "373fbodyaccjerkmeanfreqx" "374fbodyaccjerkmeanfreqy" "375fbodyaccjerkmeanfreqz" "424fbodygyromeanx" "425fbodygyromeany" "426fbodygyromeanz" "452fbodygyromeanfreqx" "453fbodygyromeanfreqy" "454fbodygyromeanfreqz" "503fbodyaccmagmean" "513fbodyaccmagmeanfreq" "516fbodybodyaccjerkmagmean" "526fbodybodyaccjerkmagmeanfreq" "529fbodybodygyromagmean" "539fbodybodygyromagmeanfreq" "542fbodybodygyrojerkmagmean" "552fbodybodygyrojerkmagmeanfreq" "555angletbodyaccmeangravity" "556angletbodyaccjerkmeangravitymean" "557angletbodygyromeangravitymean" "558angletbodygyrojerkmeangravitymean" "559anglexgravitymean" "560angleygravitymean" "561anglezgravitymean" "4tbodyaccstdx" "5tbodyaccstdy" "6tbodyaccstdz" "44tgravityaccstdx" "45tgravityaccstdy" "46tgravityaccstdz" "84tbodyaccjerkstdx" "85tbodyaccjerkstdy" "86tbodyaccjerkstdz" "124tbodygyrostdx" "125tbodygyrostdy" "126tbodygyrostdz" "164tbodygyrojerkstdx" "165tbodygyrojerkstdy" "166tbodygyrojerkstdz" "202tbodyaccmagstd" "215tgravityaccmagstd" "228tbodyaccjerkmagstd" "241tbodygyromagstd" "254tbodygyrojerkmagstd" "269fbodyaccstdx" "270fbodyaccstdy" "271fbodyaccstdz" "348fbodyaccjerkstdx" "349fbodyaccjerkstdy" "350fbodyaccjerkstdz" "427fbodygyrostdx" "428fbodygyrostdy" "429fbodygyrostdz" "504fbodyaccmagstd" "517fbodybodyaccjerkmagstd" "530fbodybodygyromagstd" "543fbodybodygyrojerkmagstd"
"1" 1 1 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
"2" 1 2 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53
"3" 1 3 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49 49
"4" 1 4 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47
"5" 1 5 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53
"6" 1 6 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
"7" 2 1 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59
"8" 2 2 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48
"9" 2 3 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47 47
"10" 2 4 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46
